"Año";"Periodo";"Parámetro";"Nominaciones";"Premios"
"2022";"Año";"Alfredo Landa";"7";"3"
"2022";"Año";"Antonio Banderas";"5";"2"
"2022";"Año";"Antonio de la Torre";"14";"2"
"2022";"Año";"Carmelo Gómez";"4";"2"
"2022";"Año";"Eduard Fernández";"13";"3"
"2022";"Año";"Emilio Gutiérrez Caba";"3";"2"
"2022";"Año";"Fernando Fernán Gómez";"6";"3"
"2022";"Año";"Gabino Diego";"5";"1"
"2022";"Año";"Javier Bardem";"10";"5"
"2022";"Año";"Javier Cámara";"8";"2"
"2022";"Año";"Javier Gutiérrez";"6";"2"
"2022";"Año";"Jorge Sanz";"6";"1"
"2022";"Año";"José Coronado";"4";"1"
"2022";"Año";"Juan Diego";"9";"3"
"2022";"Año";"Juan Echanove";"6";"2"
"2022";"Año";"Karra Elejalde";"4";"2"
"2022";"Año";"Luis Tosar";"10";"3"
"2022";"Año";"Raúl Arévalo";"5";"1"
"2022";"Año";"Roberto Álamo";"2";"2"
"2022";"Año";"Tony Leblanc";"1";"2"
;;;
;;;
"Métrica":"Nominaciones"
"Fuente":"Premios Goya"
"Clasificación":""
"Unidad":"nº"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"Premios"
"Fuente":"Premios Goya"
"Clasificación":""
"Unidad":"nº"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/actores-mas-premiados-premios-goya/23de0e96-895c-4059-8472-9b1a25d7eae5"
"Titulo":"Actores más premiados en los Premios Goya"
"Subtitulo":""
