"Año";"Periodo";"Parámetro";"Premios";"Nominaciones"
"2022";"Año";"Adriana Ozores";"1";"6"
"2022";"Año";"Ana Wagener";"1";"4"
"2022";"Año";"Ariadna Gil";"1";"6"
"2022";"Año";"Barbara Lennie";"1";"5"
"2022";"Año";"Candela Peña";"3";"8"
"2022";"Año";"Carmen Maura";"4";"6"
"2022";"Año";"Cecilia Roth";"2";"2"
"2022";"Año";"Chus Lampreave";"1";"6"
"2022";"Año";"Emma Suárez";"3";"7"
"2022";"Año";"Laia Marull";"3";"3"
"2022";"Año";"Lola Dueñas";"2";"5"
"2022";"Año";"María Barranco";"2";"5"
"2022";"Año";"Maribel Verdú";"2";"11"
"2022";"Año";"Natalia de Molina";"2";"5"
"2022";"Año";"Penélope Cruz";"3";"14"
"2022";"Año";"Pilar López de Ayala";"1";"5"
"2022";"Año";"Rafaela Aparicio";"2";"1"
"2022";"Año";"Rosa María Sardá";"2";"3"
"2022";"Año";"Terele Pávez";"1";"6"
"2022";"Año";"Verónica Forqué";"4";"5"
"2022";"Año";"Victoria Abril";"1";"9"
;;;
;;;
"Métrica":"Premios"
"Fuente":"Premios Goya"
"Clasificación":""
"Unidad":"nº"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"Nominaciones"
"Fuente":"Premios Goya"
"Clasificación":""
"Unidad":"nº"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/actrices-mas-premiadas-premios-goya/f849ac98-ee67-4524-9771-04920b40a33d"
"Titulo":"Actrices más premiadas en los Premios Goya"
"Subtitulo":""
